[2026-03-16 00:30:20] INFO - Device: cuda
[2026-03-16 00:30:20] INFO - Debug mode: False
[2026-03-16 00:30:20] INFO - Variant: ewc
[2026-03-16 00:30:20] INFO - Task sequence: ['BreakoutNoFrameskip-v4', 'SpaceInvadersNoFrameskip-v4', 'PongNoFrameskip-v4']
[2026-03-16 00:30:21] INFO - Union action space: [0, 1, 3, 4, 11, 12] (6 actions)
[2026-03-16 00:30:23] INFO - Git commit: 600fef3
[2026-03-16 00:30:23] INFO - Task 1 expert checkpoint: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:23] INFO - EWC lambda: 5000.0
[2026-03-16 00:30:23] INFO - Fisher samples: 5000
[2026-03-16 00:30:23] INFO - Online EWC: False
[2026-03-16 00:30:23] INFO - 
============================================================
[2026-03-16 00:30:23] INFO - EWC Task 1/3: BreakoutNoFrameskip-v4
[2026-03-16 00:30:23] INFO - ============================================================
[2026-03-16 00:30:23] INFO - Loading Task 1 from expert: results/checkpoints/default/expert_Breakout_best.pt
[2026-03-16 00:30:24] INFO - Computing Fisher for Task 1...
[2026-03-16 00:32:20] INFO - Post-task checkpoint saved: results/checkpoints/default/ewc_after_task0_Breakout.pt
[2026-03-16 00:32:20] INFO - Task 1 (Breakout) loaded from expert. Fisher computed on 100000 states.
[2026-03-16 00:32:20] INFO - 
============================================================
[2026-03-16 00:32:20] INFO - EWC Task 2/3: SpaceInvadersNoFrameskip-v4
[2026-03-16 00:32:20] INFO - ============================================================
[2026-03-16 00:32:50] INFO - [EWC-SpaceInvaders] Step 1680/3000000 | Ep 10 | Reward: 0.0 | Mean100: 2.5 | Eps: 0.997 | Time: 1s
[2026-03-16 00:32:51] INFO - [EWC-SpaceInvaders] Step 3147/3000000 | Ep 20 | Reward: 3.0 | Mean100: 2.4 | Eps: 0.994 | Time: 3s
[2026-03-16 00:32:53] INFO - [EWC-SpaceInvaders] Step 4643/3000000 | Ep 30 | Reward: 1.0 | Mean100: 2.5 | Eps: 0.991 | Time: 4s
[2026-03-16 00:32:54] INFO - [EWC-SpaceInvaders] Step 6178/3000000 | Ep 40 | Reward: 6.0 | Mean100: 2.6 | Eps: 0.988 | Time: 5s
[2026-03-16 00:32:55] INFO - [EWC-SpaceInvaders] Step 7880/3000000 | Ep 50 | Reward: 3.0 | Mean100: 2.6 | Eps: 0.984 | Time: 7s
[2026-03-16 00:32:57] INFO - [EWC-SpaceInvaders] Step 9564/3000000 | Ep 60 | Reward: 1.0 | Mean100: 2.9 | Eps: 0.981 | Time: 8s
[2026-03-16 00:32:58] INFO - [EWC-SpaceInvaders] Step 11243/3000000 | Ep 70 | Reward: 2.0 | Mean100: 2.9 | Eps: 0.978 | Time: 10s
[2026-03-16 00:33:00] INFO - [EWC-SpaceInvaders] Step 12878/3000000 | Ep 80 | Reward: 1.0 | Mean100: 3.0 | Eps: 0.975 | Time: 11s
[2026-03-16 00:33:01] INFO - [EWC-SpaceInvaders] Step 14494/3000000 | Ep 90 | Reward: 3.0 | Mean100: 3.0 | Eps: 0.971 | Time: 13s
[2026-03-16 00:33:02] INFO - [EWC-SpaceInvaders] Step 15868/3000000 | Ep 100 | Reward: 3.0 | Mean100: 2.9 | Eps: 0.969 | Time: 14s
[2026-03-16 00:33:04] INFO - [EWC-SpaceInvaders] Step 17620/3000000 | Ep 110 | Reward: 3.0 | Mean100: 3.0 | Eps: 0.965 | Time: 16s
[2026-03-16 00:33:06] INFO - [EWC-SpaceInvaders] Step 20180/3000000 | Ep 120 | Reward: 2.0 | Mean100: 3.2 | Eps: 0.960 | Time: 18s
[2026-03-16 00:33:08] INFO - [EWC-SpaceInvaders] Step 21874/3000000 | Ep 130 | Reward: 5.0 | Mean100: 3.2 | Eps: 0.957 | Time: 19s
[2026-03-16 00:33:09] INFO - [EWC-SpaceInvaders] Step 23072/3000000 | Ep 140 | Reward: 2.0 | Mean100: 3.0 | Eps: 0.954 | Time: 20s
[2026-03-16 00:33:10] INFO - [EWC-SpaceInvaders] Step 24589/3000000 | Ep 150 | Reward: 0.0 | Mean100: 3.1 | Eps: 0.951 | Time: 22s
[2026-03-16 00:33:12] INFO - [EWC-SpaceInvaders] Step 26307/3000000 | Ep 160 | Reward: 4.0 | Mean100: 3.0 | Eps: 0.948 | Time: 23s
[2026-03-16 00:33:13] INFO - [EWC-SpaceInvaders] Step 27839/3000000 | Ep 170 | Reward: 2.0 | Mean100: 3.0 | Eps: 0.945 | Time: 25s
[2026-03-16 00:33:15] INFO - [EWC-SpaceInvaders] Step 29639/3000000 | Ep 180 | Reward: 1.0 | Mean100: 3.0 | Eps: 0.941 | Time: 26s
[2026-03-16 00:33:16] INFO - [EWC-SpaceInvaders] Step 31311/3000000 | Ep 190 | Reward: 1.0 | Mean100: 2.9 | Eps: 0.938 | Time: 28s
[2026-03-16 00:33:19] INFO - [EWC-SpaceInvaders] Step 33636/3000000 | Ep 200 | Reward: 6.0 | Mean100: 3.2 | Eps: 0.933 | Time: 30s
[2026-03-16 00:33:20] INFO - [EWC-SpaceInvaders] Step 34778/3000000 | Ep 210 | Reward: 2.0 | Mean100: 3.1 | Eps: 0.931 | Time: 31s
