[2026-03-22 14:29:16] INFO - Device: cuda
[2026-03-22 14:29:16] INFO - Debug mode: False
[2026-03-22 14:29:16] INFO - Task sequence: ['BreakoutNoFrameskip-v4', 'SpaceInvadersNoFrameskip-v4', 'PongNoFrameskip-v4']
[2026-03-22 14:29:16] INFO - Progress steps/task: 3000000
[2026-03-22 14:29:16] INFO - Compress epochs/task: 10000
[2026-03-22 14:29:16] INFO - Union action space: [0, 1, 3, 4, 11, 12] (6 actions)
[2026-03-22 14:29:16] INFO - Git commit: 193b996
[2026-03-22 14:29:16] INFO - 
============================================================
[2026-03-22 14:29:16] INFO - Progress & Compress — Sequential Training
[2026-03-22 14:29:16] INFO - ============================================================
[2026-03-22 14:29:16] INFO - Tasks: ['BreakoutNoFrameskip-v4', 'SpaceInvadersNoFrameskip-v4', 'PongNoFrameskip-v4']
[2026-03-22 14:29:16] INFO - Progress steps/task: 3000000
[2026-03-22 14:29:16] INFO - Compress epochs/task: 10000
[2026-03-22 14:29:16] INFO - lambda_ewc=5000.0  gamma_ewc=0.95
[2026-03-22 14:29:17] INFO - 
============================================================
[2026-03-22 14:29:17] INFO - P&C Task 1/3: BreakoutNoFrameskip-v4
[2026-03-22 14:29:17] INFO - ============================================================
[2026-03-22 14:29:17] INFO - [P&C-Breakout] Progress phase (3000000 steps) ...
[2026-03-22 14:29:20] INFO - [PC-Progress-Breakout] Step 242/3000000 | Ep 10 | R: 0.0 | Mean100: 0.1 | Eps: 1.000 | 0s
[2026-03-22 14:29:21] INFO - [PC-Progress-Breakout] Step 656/3000000 | Ep 20 | R: 2.0 | Mean100: 0.3 | Eps: 0.999 | 1s
[2026-03-22 14:29:21] INFO - [PC-Progress-Breakout] Step 1000/3000000 | Ep 28 | R: 0.0 | Mean100: 0.4 | Eps: 0.998 | 1s
[2026-03-22 14:29:21] INFO - [PC-Progress-Breakout] Step 1042/3000000 | Ep 30 | R: 0.0 | Mean100: 0.3 | Eps: 0.998 | 1s
[2026-03-22 14:29:21] INFO - [PC-Progress-Breakout] Step 1349/3000000 | Ep 40 | R: 0.0 | Mean100: 0.3 | Eps: 0.997 | 2s
[2026-03-22 14:29:22] INFO - [PC-Progress-Breakout] Step 1713/3000000 | Ep 50 | R: 0.0 | Mean100: 0.3 | Eps: 0.997 | 2s
[2026-03-22 14:29:22] INFO - [PC-Progress-Breakout] Step 2045/3000000 | Ep 60 | R: 0.0 | Mean100: 0.3 | Eps: 0.996 | 2s
[2026-03-22 14:29:22] INFO - [PC-Progress-Breakout] Step 2501/3000000 | Ep 70 | R: 0.0 | Mean100: 0.4 | Eps: 0.995 | 3s
[2026-03-22 14:29:23] INFO - [PC-Progress-Breakout] Step 2761/3000000 | Ep 80 | R: 0.0 | Mean100: 0.3 | Eps: 0.995 | 3s
[2026-03-22 14:29:23] INFO - [PC-Progress-Breakout] Step 3049/3000000 | Ep 90 | R: 0.0 | Mean100: 0.3 | Eps: 0.994 | 3s
[2026-03-22 14:29:23] INFO - [PC-Progress-Breakout] Step 3480/3000000 | Ep 100 | R: 1.0 | Mean100: 0.3 | Eps: 0.993 | 4s
[2026-03-22 14:29:24] INFO - [PC-Progress-Breakout] Step 3736/3000000 | Ep 110 | R: 0.0 | Mean100: 0.3 | Eps: 0.993 | 4s
[2026-03-22 14:29:24] INFO - [PC-Progress-Breakout] Step 3948/3000000 | Ep 120 | R: 0.0 | Mean100: 0.3 | Eps: 0.992 | 4s
[2026-03-22 14:29:24] INFO - [PC-Progress-Breakout] Step 4283/3000000 | Ep 130 | R: 0.0 | Mean100: 0.3 | Eps: 0.992 | 5s
[2026-03-22 14:29:24] INFO - [PC-Progress-Breakout] Step 4497/3000000 | Ep 140 | R: 0.0 | Mean100: 0.2 | Eps: 0.991 | 5s
[2026-03-22 14:29:25] INFO - [PC-Progress-Breakout] Step 4785/3000000 | Ep 150 | R: 2.0 | Mean100: 0.2 | Eps: 0.991 | 5s
[2026-03-22 14:29:25] INFO - [PC-Progress-Breakout] Step 5118/3000000 | Ep 160 | R: 0.0 | Mean100: 0.2 | Eps: 0.990 | 5s
[2026-03-22 14:29:25] INFO - [PC-Progress-Breakout] Step 5360/3000000 | Ep 170 | R: 0.0 | Mean100: 0.2 | Eps: 0.989 | 6s
[2026-03-22 14:29:26] INFO - [PC-Progress-Breakout] Step 5602/3000000 | Ep 180 | R: 0.0 | Mean100: 0.2 | Eps: 0.989 | 6s
[2026-03-22 14:29:26] INFO - [PC-Progress-Breakout] Step 5894/3000000 | Ep 190 | R: 2.0 | Mean100: 0.2 | Eps: 0.988 | 6s
[2026-03-22 14:29:26] INFO - [PC-Progress-Breakout] Step 6178/3000000 | Ep 200 | R: 0.0 | Mean100: 0.1 | Eps: 0.988 | 6s
[2026-03-22 14:29:27] INFO - [PC-Progress-Breakout] Step 6494/3000000 | Ep 210 | R: 0.0 | Mean100: 0.2 | Eps: 0.987 | 7s
[2026-03-22 14:29:27] INFO - [PC-Progress-Breakout] Step 6735/3000000 | Ep 220 | R: 0.0 | Mean100: 0.2 | Eps: 0.987 | 7s
[2026-03-22 14:29:27] INFO - [PC-Progress-Breakout] Step 7301/3000000 | Ep 230 | R: 0.0 | Mean100: 0.2 | Eps: 0.986 | 8s
[2026-03-22 14:29:28] INFO - [PC-Progress-Breakout] Step 7657/3000000 | Ep 240 | R: 0.0 | Mean100: 0.3 | Eps: 0.985 | 8s
[2026-03-22 14:29:28] INFO - [PC-Progress-Breakout] Step 7943/3000000 | Ep 250 | R: 0.0 | Mean100: 0.3 | Eps: 0.984 | 8s
[2026-03-22 14:29:28] INFO - [PC-Progress-Breakout] Step 8155/3000000 | Ep 260 | R: 0.0 | Mean100: 0.2 | Eps: 0.984 | 9s
[2026-03-22 14:29:29] INFO - [PC-Progress-Breakout] Step 8443/3000000 | Ep 270 | R: 0.0 | Mean100: 0.2 | Eps: 0.983 | 9s
[2026-03-22 14:29:29] INFO - [PC-Progress-Breakout] Step 8655/3000000 | Ep 280 | R: 0.0 | Mean100: 0.2 | Eps: 0.983 | 9s
[2026-03-22 14:29:29] INFO - [PC-Progress-Breakout] Step 8868/3000000 | Ep 290 | R: 0.0 | Mean100: 0.2 | Eps: 0.982 | 9s
[2026-03-22 14:29:29] INFO - [PC-Progress-Breakout] Step 9182/3000000 | Ep 300 | R: 0.0 | Mean100: 0.2 | Eps: 0.982 | 10s
[2026-03-22 14:29:30] INFO - [PC-Progress-Breakout] Step 9622/3000000 | Ep 310 | R: 1.0 | Mean100: 0.3 | Eps: 0.981 | 10s
[2026-03-22 14:29:30] INFO - [PC-Progress-Breakout] Step 9909/3000000 | Ep 320 | R: 0.0 | Mean100: 0.3 | Eps: 0.980 | 10s
[2026-03-22 14:29:30] INFO - [PC-Progress-Breakout] Step 10122/3000000 | Ep 330 | R: 0.0 | Mean100: 0.2 | Eps: 0.980 | 11s
[2026-03-22 14:29:31] INFO - [PC-Progress-Breakout] Step 10605/3000000 | Ep 340 | R: 0.0 | Mean100: 0.2 | Eps: 0.979 | 11s
[2026-03-22 14:29:31] INFO - [PC-Progress-Breakout] Step 10889/3000000 | Ep 350 | R: 0.0 | Mean100: 0.2 | Eps: 0.978 | 11s
[2026-03-22 14:29:31] INFO - [PC-Progress-Breakout] Step 11196/3000000 | Ep 360 | R: 0.0 | Mean100: 0.2 | Eps: 0.978 | 12s
[2026-03-22 14:29:32] INFO - [PC-Progress-Breakout] Step 11538/3000000 | Ep 370 | R: 2.0 | Mean100: 0.2 | Eps: 0.977 | 12s
[2026-03-22 14:29:32] INFO - [PC-Progress-Breakout] Step 11891/3000000 | Ep 380 | R: 1.0 | Mean100: 0.3 | Eps: 0.976 | 12s
[2026-03-22 14:29:32] INFO - [PC-Progress-Breakout] Step 12150/3000000 | Ep 390 | R: 0.0 | Mean100: 0.3 | Eps: 0.976 | 13s
[2026-03-22 14:29:33] INFO - [PC-Progress-Breakout] Step 12585/3000000 | Ep 400 | R: 0.0 | Mean100: 0.3 | Eps: 0.975 | 13s
[2026-03-22 14:29:33] INFO - [PC-Progress-Breakout] Step 13110/3000000 | Ep 410 | R: 0.0 | Mean100: 0.3 | Eps: 0.974 | 14s
[2026-03-22 14:29:34] INFO - [PC-Progress-Breakout] Step 13444/3000000 | Ep 420 | R: 0.0 | Mean100: 0.3 | Eps: 0.973 | 14s
[2026-03-22 14:29:34] INFO - [PC-Progress-Breakout] Step 13922/3000000 | Ep 430 | R: 3.0 | Mean100: 0.4 | Eps: 0.972 | 14s
[2026-03-22 14:29:35] INFO - [PC-Progress-Breakout] Step 14256/3000000 | Ep 440 | R: 0.0 | Mean100: 0.4 | Eps: 0.972 | 15s
[2026-03-22 14:29:35] INFO - [PC-Progress-Breakout] Step 14526/3000000 | Ep 450 | R: 1.0 | Mean100: 0.4 | Eps: 0.971 | 15s
[2026-03-22 14:29:35] INFO - [PC-Progress-Breakout] Step 14815/3000000 | Ep 460 | R: 0.0 | Mean100: 0.4 | Eps: 0.971 | 15s
[2026-03-22 14:29:35] INFO - [PC-Progress-Breakout] Step 15135/3000000 | Ep 470 | R: 0.0 | Mean100: 0.4 | Eps: 0.970 | 16s
[2026-03-22 14:29:36] INFO - [PC-Progress-Breakout] Step 15394/3000000 | Ep 480 | R: 0.0 | Mean100: 0.3 | Eps: 0.970 | 16s
[2026-03-22 14:29:36] INFO - [PC-Progress-Breakout] Step 15653/3000000 | Ep 490 | R: 0.0 | Mean100: 0.3 | Eps: 0.969 | 16s
[2026-03-22 14:29:36] INFO - [PC-Progress-Breakout] Step 15944/3000000 | Ep 500 | R: 0.0 | Mean100: 0.3 | Eps: 0.968 | 17s
[2026-03-22 14:29:37] INFO - [PC-Progress-Breakout] Step 16279/3000000 | Ep 510 | R: 1.0 | Mean100: 0.3 | Eps: 0.968 | 17s
[2026-03-22 14:29:37] INFO - [PC-Progress-Breakout] Step 16565/3000000 | Ep 520 | R: 0.0 | Mean100: 0.2 | Eps: 0.967 | 17s
[2026-03-22 14:29:37] INFO - [PC-Progress-Breakout] Step 16803/3000000 | Ep 530 | R: 0.0 | Mean100: 0.2 | Eps: 0.967 | 18s
[2026-03-22 14:29:38] INFO - [PC-Progress-Breakout] Step 17065/3000000 | Ep 540 | R: 0.0 | Mean100: 0.2 | Eps: 0.966 | 18s
[2026-03-22 14:29:38] INFO - [PC-Progress-Breakout] Step 17600/3000000 | Ep 550 | R: 0.0 | Mean100: 0.2 | Eps: 0.965 | 18s
[2026-03-22 14:29:38] INFO - [PC-Progress-Breakout] Step 17814/3000000 | Ep 560 | R: 0.0 | Mean100: 0.2 | Eps: 0.965 | 19s
[2026-03-22 14:29:39] INFO - [PC-Progress-Breakout] Step 18073/3000000 | Ep 570 | R: 0.0 | Mean100: 0.2 | Eps: 0.964 | 19s
[2026-03-22 14:29:39] INFO - [PC-Progress-Breakout] Step 18377/3000000 | Ep 580 | R: 0.0 | Mean100: 0.2 | Eps: 0.964 | 19s
[2026-03-22 14:29:39] INFO - [PC-Progress-Breakout] Step 18837/3000000 | Ep 590 | R: 0.0 | Mean100: 0.3 | Eps: 0.963 | 20s
[2026-03-22 14:29:40] INFO - [PC-Progress-Breakout] Step 19123/3000000 | Ep 600 | R: 0.0 | Mean100: 0.3 | Eps: 0.962 | 20s
[2026-03-22 14:29:40] INFO - [PC-Progress-Breakout] Step 19412/3000000 | Ep 610 | R: 0.0 | Mean100: 0.2 | Eps: 0.962 | 20s
[2026-03-22 14:29:40] INFO - [PC-Progress-Breakout] Step 19653/3000000 | Ep 620 | R: 0.0 | Mean100: 0.2 | Eps: 0.961 | 20s
[2026-03-22 14:29:41] INFO - [PC-Progress-Breakout] Step 20064/3000000 | Ep 630 | R: 0.0 | Mean100: 0.3 | Eps: 0.960 | 21s
[2026-03-22 14:29:41] INFO - [PC-Progress-Breakout] Step 20325/3000000 | Ep 640 | R: 0.0 | Mean100: 0.3 | Eps: 0.960 | 21s
[2026-03-22 14:29:41] INFO - [PC-Progress-Breakout] Step 20582/3000000 | Ep 650 | R: 0.0 | Mean100: 0.2 | Eps: 0.959 | 21s
[2026-03-22 14:29:42] INFO - [PC-Progress-Breakout] Step 20921/3000000 | Ep 660 | R: 0.0 | Mean100: 0.2 | Eps: 0.959 | 22s
[2026-03-22 14:29:42] INFO - [PC-Progress-Breakout] Step 21163/3000000 | Ep 670 | R: 1.0 | Mean100: 0.2 | Eps: 0.958 | 22s
[2026-03-22 14:29:42] INFO - [PC-Progress-Breakout] Step 21634/3000000 | Ep 680 | R: 1.0 | Mean100: 0.3 | Eps: 0.957 | 23s
[2026-03-22 14:29:43] INFO - [PC-Progress-Breakout] Step 22075/3000000 | Ep 690 | R: 3.0 | Mean100: 0.3 | Eps: 0.956 | 23s
[2026-03-22 14:29:43] INFO - [PC-Progress-Breakout] Step 22506/3000000 | Ep 700 | R: 0.0 | Mean100: 0.3 | Eps: 0.955 | 23s
[2026-03-22 14:29:43] INFO - [PC-Progress-Breakout] Step 22765/3000000 | Ep 710 | R: 0.0 | Mean100: 0.3 | Eps: 0.955 | 24s
[2026-03-22 14:29:44] INFO - [PC-Progress-Breakout] Step 23004/3000000 | Ep 720 | R: 0.0 | Mean100: 0.3 | Eps: 0.954 | 24s
[2026-03-22 14:29:44] INFO - [PC-Progress-Breakout] Step 23419/3000000 | Ep 730 | R: 0.0 | Mean100: 0.3 | Eps: 0.954 | 24s
[2026-03-22 14:29:45] INFO - [PC-Progress-Breakout] Step 23802/3000000 | Ep 740 | R: 0.0 | Mean100: 0.3 | Eps: 0.953 | 25s
[2026-03-22 14:29:45] INFO - [PC-Progress-Breakout] Step 24139/3000000 | Ep 750 | R: 0.0 | Mean100: 0.4 | Eps: 0.952 | 25s
[2026-03-22 14:29:45] INFO - [PC-Progress-Breakout] Step 24568/3000000 | Ep 760 | R: 0.0 | Mean100: 0.4 | Eps: 0.951 | 26s
[2026-03-22 14:29:46] INFO - [PC-Progress-Breakout] Step 24978/3000000 | Ep 770 | R: 4.0 | Mean100: 0.4 | Eps: 0.951 | 26s
[2026-03-22 14:29:46] INFO - [PC-Progress-Breakout] Step 25264/3000000 | Ep 780 | R: 0.0 | Mean100: 0.4 | Eps: 0.950 | 26s
[2026-03-22 14:29:46] INFO - [PC-Progress-Breakout] Step 25553/3000000 | Ep 790 | R: 0.0 | Mean100: 0.3 | Eps: 0.949 | 27s
[2026-03-22 14:29:47] INFO - [PC-Progress-Breakout] Step 25996/3000000 | Ep 800 | R: 1.0 | Mean100: 0.3 | Eps: 0.949 | 27s
[2026-03-22 14:29:47] INFO - [PC-Progress-Breakout] Step 26256/3000000 | Ep 810 | R: 0.0 | Mean100: 0.3 | Eps: 0.948 | 27s
[2026-03-22 14:29:47] INFO - [PC-Progress-Breakout] Step 26542/3000000 | Ep 820 | R: 0.0 | Mean100: 0.3 | Eps: 0.947 | 28s
[2026-03-22 14:29:48] INFO - [PC-Progress-Breakout] Step 27094/3000000 | Ep 830 | R: 1.0 | Mean100: 0.4 | Eps: 0.946 | 28s
[2026-03-22 14:29:48] INFO - [PC-Progress-Breakout] Step 27413/3000000 | Ep 840 | R: 0.0 | Mean100: 0.4 | Eps: 0.946 | 29s
[2026-03-22 14:29:49] INFO - [PC-Progress-Breakout] Step 27626/3000000 | Ep 850 | R: 0.0 | Mean100: 0.3 | Eps: 0.945 | 29s
[2026-03-22 14:29:49] INFO - [PC-Progress-Breakout] Step 27868/3000000 | Ep 860 | R: 0.0 | Mean100: 0.3 | Eps: 0.945 | 29s
[2026-03-22 14:29:49] INFO - [PC-Progress-Breakout] Step 28126/3000000 | Ep 870 | R: 0.0 | Mean100: 0.2 | Eps: 0.944 | 29s
[2026-03-22 14:29:49] INFO - [PC-Progress-Breakout] Step 28460/3000000 | Ep 880 | R: 0.0 | Mean100: 0.3 | Eps: 0.944 | 30s
[2026-03-22 14:29:50] INFO - [PC-Progress-Breakout] Step 28699/3000000 | Ep 890 | R: 0.0 | Mean100: 0.2 | Eps: 0.943 | 30s
[2026-03-22 14:29:50] INFO - [PC-Progress-Breakout] Step 28990/3000000 | Ep 900 | R: 0.0 | Mean100: 0.2 | Eps: 0.943 | 30s
